fn," model"," batch"," final_epochs"," time_taken","  valid_loss","train_acc","valid_acc",test_acc,comments
2021554,"b6","16"," ?"," ?","0.377365852","","",0.80281,
2031325,"b7","16","20"," 7:42:11.993813","0.348707246","","",0.806292308,
2041614,"b7","16","17"," 6:24:04.874657","0.394541382","","",0.795938462,
2081714,"b7","16","12","4:19:51.343173","0.449833694","","",,default (no augmentation)
2081932,"b7","16","12","5:39:57.401943","0.447727009","","",,mnist_pretrained(no augmentation)
2090913,"b7","16","12","4:42:59.821816","0.463618904542923","","",,mnist_pretrained+bilateral_filter(no augmentation)
2090922,"b7","16","24","19:08:17.785389","0.3324961177190145","","",0.8108,mnist_pretrained+bilateral_filter+augmentation+thres0.5
2091550,"b7","16","28","17:55:00.960478","0.31251120460828147","","",0.7040307692,mnist_pretrained+augmentation+thres0.5
2110212,"b7","16","27","16:58:08.912594","0.306127175839742","0.9268703460693359","0.8778693079948425",0.8187076923,imagenet_pretrained+augmentation+thres0.5
2101438,"b7","16","23","5 days, 0:03:00.550211","0.3320867144266764","0.9265626668930054","0.8607333302497864",0.8108,mnist_pretrained+moon_filter+augmentation+thres0.5
2151530,"b8","16","28","22:42:50.512042","0.2923570810953776","0.9466187357902527","0.8859589695930481",0.8295384615,
2171125,"b8","16","34","22:52:23.078033","0.24693203775882722","0.964184582233429","0.9141128063201904",0.8472461538,imagenet+augmentation+dropoout50
